iter	Logloss
0	0.644676052
1	0.6052034036
2	0.5703738482
3	0.5397598267
4	0.5069064409
5	0.4823131072
6	0.4623723739
7	0.4464523707
8	0.4325219961
9	0.4210026668
10	0.4080840282
11	0.3956659562
12	0.3875224187
13	0.3725985014
14	0.366846603
15	0.3586690658
16	0.3499615009
17	0.3403969789
18	0.3352807461
19	0.3258461781
20	0.3173074967
21	0.3125557533
22	0.3079996745
23	0.3052611131
24	0.3008197491
25	0.2952189323
26	0.2904745249
27	0.287113444
28	0.2840405978
29	0.2818704458
30	0.2786293421
31	0.2762779627
32	0.2731067951
33	0.2692945823
34	0.2675799639
35	0.2660008748
36	0.2640960302
37	0.2624106187
38	0.2613075843
39	0.2601627839
40	0.2593236287
41	0.25692616
42	0.2552171756
43	0.2536331177
44	0.2515942109
45	0.2504141783
46	0.2498021052
47	0.2485650674
48	0.246953485
49	0.2462650788
50	0.244882163
51	0.2432698372
52	0.2425884149
53	0.2409203749
54	0.2399431082
55	0.2392017854
56	0.2376305605
57	0.2365293845
58	0.2356997563
59	0.2348832546
60	0.2343852899
61	0.2335953933
62	0.2331779284
63	0.2320189256
64	0.2315110818
65	0.2307214003
66	0.2303956839
67	0.2299882546
68	0.2288609431
69	0.2277618995
70	0.2267957247
71	0.2264125335
72	0.2257701189
73	0.2249041631
74	0.2245310465
75	0.2239597418
76	0.2238814134
77	0.2231635852
78	0.2225379944
79	0.221931125
80	0.22111253
81	0.2205243233
82	0.2200887436
83	0.2194508088
84	0.2188976777
85	0.2186378088
86	0.2182140253
87	0.2180275942
88	0.2167969533
89	0.216003731
90	0.2157949399
91	0.2154561752
92	0.2149639814
93	0.2147288005
94	0.2143859081
95	0.2140173105
96	0.2135122055
97	0.2129948738
98	0.2124242929
99	0.2123713958
100	0.2118674645
101	0.211254472
102	0.2108562763
103	0.2101451189
104	0.2096862402
105	0.2091725472
106	0.209066792
107	0.2087054717
108	0.2082152147
109	0.2077356192
110	0.2075910128
111	0.2073839041
112	0.206701758
113	0.2062588423
114	0.2060829749
115	0.2058513739
116	0.2055920723
117	0.2052738483
118	0.2049006535
119	0.2047519782
120	0.2045317625
121	0.2039568779
122	0.2034800798
123	0.2031944079
124	0.2031703069
125	0.2029176957
126	0.2023469974
127	0.2019991948
128	0.2017181983
129	0.2010821611
130	0.2008383335
131	0.2004237053
132	0.2003036499
133	0.199787316
134	0.1995270558
135	0.1987562522
136	0.1983197726
137	0.1982949281
138	0.1977209629
139	0.1972563132
140	0.1968485123
141	0.1967640803
142	0.1962584275
143	0.1961859679
144	0.1956227816
145	0.1954489488
146	0.195213357
147	0.1948062799
148	0.1942622649
149	0.1940733298
150	0.1938029949
151	0.1936919384
152	0.193224589
153	0.1928891109
154	0.1925866543
155	0.1919195713
156	0.1913774148
157	0.1907848652
158	0.1905706748
159	0.1902273716
160	0.1900122618
161	0.1899931296
162	0.1898564657
163	0.1895619319
164	0.188974625
165	0.1888552935
166	0.1887648949
167	0.1884847983
168	0.1881820287
169	0.1880864853
170	0.1879812192
171	0.1876657339
172	0.1874453031
173	0.18721603
174	0.1870772924
175	0.1870129121
176	0.1867872189
177	0.1865103697
178	0.1864034017
179	0.1862816835
180	0.186137351
181	0.1859568865
182	0.185643827
183	0.1856041933
184	0.1854715201
185	0.1851975857
186	0.185119668
187	0.1846591265
188	0.1843908261
189	0.1842931894
190	0.1841918163
191	0.1838346432
192	0.1836912302
193	0.183492103
194	0.1832508185
195	0.1829658704
196	0.1826519697
197	0.1822862478
198	0.1821047465
199	0.181963055
